APPCH:010,A,L09-Y,JODIB,JODIB,K7,P,C,EE A,R,   ,HF, ,IUVD,K7,P,I,      ,2718,0119,0917,0040,+,02800,     ,18000, ,   ,    ,   , , , , , ,0,P,S;
APPCH:010,L,L09-Y, ,JODIB,K7,P,C,E  I, ,   ,IF, ,IUVD,K7,P,I,      ,2718,0119,    ,    ,+,02800,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L09-Y, ,TUNNG,K7,P,C,E  F, ,   ,CF, ,IUVD,K7,P,I,      ,2718,0051,0920,0069,+,01800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,L,L09-Y, ,RW09,K7,P,G,GY M, ,   ,CF, ,IUVD,K7,P,I,      ,2718,0011,0920,0040, ,00453,     ,     , ,   ,-320,   , , , , , ,0,N,S;
APPCH:040,L,L09-Y, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0918,    ,+,01100,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,L,L09-Y, ,JODIB,K7,P,C,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,L,L09-Y, ,JODIB,K7,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,0917,0040,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L09-Z,HLI,HLI,K7,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L09-Z,HLI,TUNNG,K7,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,L09-Z,HLI,TUNNG,K7,P,C,EE A,L,   ,PI, ,IUVD,K7,P,I,      ,2718,0051,3168,0100,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L09-Z,ZETUR,ZETUR,K7,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L09-Z,ZETUR,JODIB,K7,P,C,EE B, ,   ,CF, ,IUVD,K7,P,I,      ,2718,0119,0918,0096,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,L,L09-Z, ,JODIB,K7,P,C,E  I, ,   ,IF, ,IUVD,K7,P,I,      ,2718,0119,    ,    ,+,02800,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L09-Z, ,TUNNG,K7,P,C,E  F, ,   ,CF, ,IUVD,K7,P,I,      ,2718,0051,0920,0069,+,01800,     ,     , ,   ,    ,   ,UV,K7,P,N, ,0,N,S;
APPCH:030,L,L09-Z, ,RW09,K7,P,G,GY M, ,   ,CF, ,IUVD,K7,P,I,      ,2718,0011,0920,0040, ,00453,     ,     , ,   ,-320,   , , , , , ,0,N,S;
APPCH:040,L,L09-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0918,    ,+,01100,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,L,L09-Z, ,TUNNG,K7,P,C,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,L,L09-Z, ,TUNNG,K7,P,C,EE  ,L,   ,HM, , , , , ,      ,    ,    ,0918,T010,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,R09,JODIB,JODIB,K7,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,0917,0040,+,02800,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R09, ,JODIB,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R09, ,IBIYA,K7,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,0917,0060,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R09, ,ZERSU,K7,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,0918,0025,V,01200,01217,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R09, ,RW09,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,0918,0024, ,00453,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0918,    ,+,00668,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R09, ,FOVAB,K7,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R09, ,FOVAB,K7,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2720,0040,+,02800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R27,FOVAB,FOVAB,K7,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,2720,0040,+,02800,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R27, ,FOVAB,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R27, ,ZAGUM,K7,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,2720,0060,+,02200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,        LP,N,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R27, ,WUSVO,K7,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,2719,0022,V,01380,01397,     , ,   ,-350,   , , , , , ,A,J,S;
APPCH:030,R,R27, ,RW27,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2719,0024, ,00505,     ,     , ,   ,-350,   , , , , , ,A,J,S;
APPCH:040,R,R27, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2719,    ,+,00852,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R27, ,JODIB,K7,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R27, ,JODIB,K7,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,0917,0040,+,02800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,VDM-A,HLI,HLI,K7,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VDM-A,HLI,ZORAF,K7,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VDM-A,HLI,ADULT,K7,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VDM-A,NUJLE,NUJLE,K7,E,A,E  A, ,   ,IF, ,HLI,K7,D, ,      ,0886,0100,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VDM-A,NUJLE,ZORAF,K7,P,C,E  B,R,   ,AF, ,HLI,K7,D, ,      ,1820,0100,0886,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VDM-A,NUJLE,ADULT,K7,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VDM-A,YUGPU,YUGPU,K7,E,A,E  A, ,   ,IF, ,HLI,K7,D, ,      ,2560,0100,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VDM-A,YUGPU,ZORAF,K7,P,C,E  B,L,   ,AF, ,HLI,K7,D, ,      ,1820,0100,2560,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VDM-A,YUGPU,ADULT,K7,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,D,VDM-A, ,ADULT,K7,P,C,E  I, ,   ,IF, ,HLI,K7,D, ,      ,1819,0115,    ,    ,+,02400,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,D,VDM-A, ,EHJOJ,K7,P,C,E  F, ,   ,CF, ,HLI,K7,D, ,      ,1820,0175,1820,0060,+,02400,     ,     , ,   ,    ,   ,HLI,K7,D, , ,0, ,C;
APPCH:021,D,VDM-A, ,CAXOV,K7,P,C,E S , ,   ,CF, ,HLI,K7,D, ,      ,1820,0215,1820,0040,+,01440,     ,     , ,   , 000,   , , , , , ,0, ,C;
