SID:010,2,CONRA2,ALL,CONRA,K4,E,A,EE  , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:010,3,CONRA2,CLL,CONRA,K4,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,CONRA2,CLL,CLL,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,CONRA2,LOA,CONRA,K4,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,CONRA2,LOA,LOA,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,LAMPS7,RW15, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1533,    ,+,01415,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,LAMPS7,RW15, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,3330,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,LAMPS7,RW15,AGJ,K4,D, ,VE  , ,   ,CF, ,AGJ,K4,D, ,      ,0000,0000,2890,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,LAMPS7,RW33, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3334,    ,+,01415,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,LAMPS7,RW33, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,2430,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,LAMPS7,RW33,AGJ,K4,D, ,VE  , ,   ,CF, ,AGJ,K4,D, ,      ,0000,0000,2890,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,LAMPS7,ACT,AGJ,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,LAMPS7,ACT,SONET,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,LAMPS7,ACT,ACT,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,LAMPS7,STV,AGJ,K4,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,LAMPS7,STV,STV,K4,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
