STAR:010,4,ENDEE4,IRK,IRK,K3,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE4,IRK,ENNZO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE4,IRK,FUDDD,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL330,FL310,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE4,IRK,BOOKK,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL290,FL240,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE4,IRK,LLVSS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL230,FL190,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE4,IRK,PEALE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,16000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE4,IRK,TOLCA,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE4,IRK,JILLZ,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE4,IRK,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ENDEE4,JALAP,JALAP,K3,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE4,JALAP,KAMBL,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE4,JALAP,MIGGS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL260,FL240,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE4,JALAP,EDENS,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL230,FL180,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE4,JALAP,PURTY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL180,14000,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE4,JALAP,OCCHO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE4,JALAP,KOOKS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE4,JALAP,JILLZ,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE4,JALAP,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ENDEE4,KAMBL,KAMBL,K5,P,C,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE4,KAMBL,MIGGS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL260,FL240,     , ,   ,    ,   , , , , , , , , ;
