STAR:010,1,SIE4,OTT,OTT,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,SIE4,OTT,JAYBO,K6,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,0850,0350, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,SIE4,OTT,SIE,K6,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,0850,0590, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,SIE4,SWL,SWL,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,SIE4,SWL,CBEAV,K6,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,0340,0210, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,SIE4,SWL,RADDS,K6,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,0340,0190, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,SIE4,SWL,SIE,K6,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,0360,0300, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,SIE4,ALL,SIE,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,SIE4,ALL,PANZE,K6,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,0490,0460, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,SIE4,ALL,ZIGGI,K6,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,0300,0240, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,I06,CYN,CYN,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I06,CYN,SOITE,K6,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I06,CYN,SOITE,K6,P,C,EE A,L,   ,HF, ,IMJX,K6,P,I,      ,2429,0122,0799,T010,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I06, ,SOITE,K6,P,C,E  I, ,   ,IF, ,IMJX,K6,P,I,      ,2429,0122,    ,    ,J,01900,01600,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I06, ,ZOMEV,K6,P,C,E  F, ,   ,CF, ,IMJX,K6,P,I,      ,2429,0057,0630,0065,H,01600,01600,     , ,   ,-300,   ,CYN,K6,D, , ,0,N,S;
APPCH:030,I,I06, ,RW06,K6,P,G,GY M, ,   ,CF, ,IMJX,K6,P,I,      ,2429,0011,0630,0046, ,00132,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I06, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0628,    ,+,00600,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I06, ,CYN,K6,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I06, ,SOITE,K6,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:070,I,I06, ,SOITE,K6,P,C,EE  ,L,   ,HM, , , , , ,      ,    ,    ,0799,T010,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L06,CYN,CYN,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L06,CYN,SOITE,K6,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,L06,CYN,SOITE,K6,P,C,EE A,L,   ,HF, ,IMJX,K6,P,I,      ,2429,0122,0799,T010,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,L,L06, ,SOITE,K6,P,C,E  I, ,   ,IF, ,IMJX,K6,P,I,      ,2429,0122,    ,    ,+,01900,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L06, ,ZOMEV,K6,P,C,E  F, ,   ,CF, ,IMJX,K6,P,I,      ,2429,0057,0630,0065,+,01600,     ,     , ,   ,    ,   ,CYN,K6,D, , ,0,N,S;
APPCH:021,L,L06, ,XOQUR,K6,P,C,E S , ,   ,CF, ,IMJX,K6,P,I,      ,2429,0030,0630,0027,+,00660,     ,     , ,   ,-301,   , , , , , ,0,N,S;
APPCH:030,L,L06, ,RW06,K6,P,G,GY M, ,   ,CF, ,IMJX,K6,P,I,      ,2429,0011,0630,0019, ,00132,     ,     , ,   ,-301,   , , , , , ,0,N,S;
APPCH:040,L,L06, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0628,    ,+,00600,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,L,L06, ,CYN,K6,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
